City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
192,zhezkazgan,47.8043,67.7144,-5.19,100,49,4.99,KZ,1675710646
193,khandyga,62.6667,135.6,-37.53,100,100,0.25,RU,1675710956
194,santa fe,-31.6333,-60.7,100.29,24,5,5.01,AR,1675710379
195,udachnyy,66.4167,112.4,-29.02,99,99,2.57,RU,1675710957
196,ambon,-3.6954,128.1814,77.14,94,40,2.3,ID,1675710712
197,clonakilty,51.6231,-8.8706,45.61,85,99,14.12,IE,1675710957
198,avarua,-21.2078,-159.775,82.45,83,75,12.66,CK,1675710712
199,muravlenko,63.7898,74.523,0.25,97,100,6.33,RU,1675710959
200,olinda,-8.0089,-34.8553,80.33,74,75,4.61,BR,1675710959
201,necochea,-38.5473,-58.7368,74.32,41,6,18.21,AR,1675710960
202,sao joao da barra,-21.6403,-41.0511,80.69,87,90,5.37,BR,1675710960
203,palu,-0.8917,119.8707,74.35,95,96,2.59,ID,1675710961
204,ciudad ojeda,10.1964,-71.3082,86.5,56,73,7.81,VE,1675710962
205,comodoro rivadavia,-45.8667,-67.5,69.96,42,10,8.59,AR,1675710963
206,leningradskiy,69.3833,178.4167,-30.03,98,98,8.23,RU,1675710965
207,ulladulla,-35.35,150.4667,65.21,94,100,7.29,AU,1675710970
208,margate,51.3813,1.3862,40.89,90,2,1.01,GB,1675710974
209,xifeng,42.7372,124.7222,9.46,87,100,3.4,CN,1675710975
210,hualmay,-11.0964,-77.6139,76.96,72,44,8.16,PE,1675710981
211,aswan,24.0934,32.907,60.76,38,100,10.63,EG,1675710983
212,oktyabrskiy,54.4815,53.471,9.61,99,100,2.04,RU,1675710985
213,grand gaube,-20.0064,57.6608,80.38,78,100,4.0,MU,1675710656
214,tchollire,8.4022,14.1698,80.98,12,1,1.86,CM,1675710986
215,hamilton,39.1834,-84.5333,47.59,56,0,5.75,US,1675710616
216,ketchikan,55.3422,-131.6461,42.78,81,100,5.75,US,1675710988
217,sabang,5.8933,95.3214,79.93,77,94,4.56,ID,1675710990
218,kariba,-16.5167,28.8,72.77,76,10,2.62,ZW,1675710990
219,salinas,36.6777,-121.6555,56.8,63,0,4.61,US,1675710773
220,nikolskoye,59.7035,30.7861,28.29,95,98,4.68,RU,1675710648
221,hami,42.8,93.45,32.76,41,100,4.56,CN,1675710936
222,point pleasant,40.0832,-74.0682,50.25,70,100,15.84,US,1675710992
223,luderitz,-26.6481,15.1594,65.3,88,15,13.78,NA,1675710993
224,ananas,19.2466,-71.9557,86.88,36,53,3.51,HT,1675710994
225,namibe,-15.1961,12.1522,71.58,79,99,7.9,AO,1675710994
226,mikuni,36.2171,136.1519,39.11,76,100,3.24,JP,1675710994
227,vostok,46.4856,135.8833,-5.06,98,100,4.79,RU,1675710995
228,denia,38.8408,0.1057,52.47,86,100,11.99,ES,1675710911
229,kyra,49.5776,111.9753,-5.24,94,91,3.89,RU,1675710996
230,dudinka,69.4058,86.1778,-9.38,99,100,6.24,RU,1675710996
231,paraiso,9.8383,-83.8656,76.87,69,31,8.46,CR,1675710997
232,alexandria,31.2156,29.9553,56.71,51,94,22.01,EG,1675710997
233,talcahuano,-36.7167,-73.1167,73.08,49,0,10.36,CL,1675710998
234,chicama,-7.8447,-79.1469,77.54,56,35,11.03,PE,1675710923
235,sept-iles,50.2001,-66.3821,14.52,68,20,5.75,CA,1675710999
236,araouane,18.9048,-3.5265,74.46,12,100,8.57,ML,1675711000
